index,_id,codigo_ibge,nome,latitude,longitude,capital,codigo_uf,siafi_id,ddd,fuso_horario,uf,nome_uf
4,6494be310417200165ceee57,3100203,Abaeté,-19.1551,-45.4444,0,31,4003,37,America/Sao_Paulo,MG,Minas Gerais
54,6494be310417200165ceee62,3101300,Alagoa,-22.171,-44.6413,0,31,4025,35,America/Sao_Paulo,MG,Minas Gerais
104,6494be310417200165ceee6a,3102001,Alterosa,-21.2488,-46.1387,0,31,4039,35,America/Sao_Paulo,MG,Minas Gerais
154,6494be310417200165cef3ff,2600906,Amaraji,-8.37691,-35.4501,0,26,2317,81,America/Sao_Paulo,PE,Pernambuco
204,6494be310417200165cef781,2400802,Angicos,-5.65792,-36.6094,0,24,1615,84,America/Sao_Paulo,RN,Rio Grande do Norte
254,6494be310417200165ceeb8b,2301000,Aquiraz,-3.89929,-38.3896,0,23,1319,85,America/Sao_Paulo,CE,Ceará
304,6494be310417200165cef720,3300209,Araruama,-22.8697,-42.3326,0,33,5803,22,America/Sao_Paulo,RJ,Rio de Janeiro
354,6494be310417200165cef723,3300258,Arraial do Cabo,-22.9774,-42.0267,0,33,5927,22,America/Sao_Paulo,RJ,Rio de Janeiro
404,6494be310417200165cef4bf,2201101,Avelino Lopes,-10.1345,-43.9563,0,22,1021,89,America/Sao_Paulo,PI,Piauí
454,6494be310417200165cefc00,3505104,Barbosa,-21.2657,-49.9518,0,35,6199,18,America/Sao_Paulo,SP,São Paulo
504,6494be310417200165ceea05,2903235,Barro Alto,-11.7605,-41.9054,0,29,3075,74,America/Sao_Paulo,BA,Bahia
554,6494be310417200165cef29a,1501451,Belterra,-2.63609,-54.9374,0,15,44,93,America/Sao_Paulo,PA,Pará
604,6494be310417200165cef333,2502102,Boa Ventura,-7.40982,-38.2113,0,25,1943,83,America/Sao_Paulo,PB,Paraíba
654,6494be310417200165cefa7f,4202578,Bom Jesus do Oeste,-26.6927,-53.0967,0,42,902,49,America/Sao_Paulo,SC,Santa Catarina
704,6494be310417200165cef89a,4302584,Bozano,-28.3659,-53.772,0,43,1128,55,America/Sao_Paulo,RS,Rio Grande do Sul
754,6494be310417200165ceeeb1,3108701,Brás Pires,-20.8419,-43.2406,0,31,4173,32,America/Sao_Paulo,MG,Minas Gerais
804,6494be310417200165ceeec1,3109808,Cachoeira Dourada,-18.5161,-49.5039,0,31,4195,34,America/Sao_Paulo,MG,Minas Gerais
854,6494be310417200165cefc2f,3509254,Cajati,-24.7324,-48.1223,0,35,2967,13,America/Sao_Paulo,SP,São Paulo
904,6494be310417200165ceeece,3111101,Campina Verde,-19.5382,-49.4862,0,31,4221,34,America/Sao_Paulo,MG,Minas Gerais
954,6494be310417200165ceecbe,5204953,Campos Verdes,-14.2442,-49.6528,0,52,9781,62,America/Sao_Paulo,GO,Goiás
1004,6494be310417200165cee93c,2701704,Capela,-9.41504,-36.0826,0,27,2733,82,America/Sao_Paulo,AL,Alagoas
